# item,amount,goal_place_row,goal_place_col
503257000321,1,49,49
501060000200,1,49,49
502080102200,1,49,49
503067000321,1,49,49
511140071300,1,49,49
503080100100,1,49,49
511140041900,1,49,49
511140052400,1,49,49
511140095200,1,49,49
503067100321,1,49,49
511140028900,1,49,49
502140050300,1,49,49
503080104300,1,49,49
503080105300,1,49,49
511140029000,1,49,49
511140029600,1,49,49
503067100621,1,49,49
511067000421,1,49,49
511140052300,1,49,49
511140090400,1,49,49
511142000400,1,49,49
501065000120,1,49,49
501145000920,1,49,49
503080104600,1,49,49
511148002100,1,49,49
502080103300,1,49,49
503080101000,1,49,49
511140039500,1,49,49
511140041700,1,49,49
511140071100,1,49,49
511140071200,1,49,49
511140071400,1,49,49
511148003200,1,49,49
502067000221,1,49,49
505256000121,1,49,49
502080103200,1,49,49
511140052200,1,49,49
511140052100,1,49,49
511140029200,1,49,49
507067000121,1,49,49
502066000321,1,49,49
506066000121,1,49,49
502145000220,1,49,49
503255000320,1,49,49
503080100600,1,49,49
503255000420,1,49,49
505255000120,1,49,49
503080101500,1,49,49
511148004200,1,49,49
511140041600,1,49,49
531065000420,1,49,49
511140050700,1,49,49
511140028200,1,49,49
511140061400,1,49,49
511140095100,1,49,49
502067000121,1,49,49
502067000821,1,49,49
502067000621,1,49,49
501066001021,1,49,49
503080103400,1,49,49
511140029100,1,49,49
503080104100,1,49,49
511140028700,1,49,49
507066000121,1,49,49
502145000120,1,49,49
511140090600,1,49,49
505255002520,1,49,49
511067000621,1,49,49
502080104300,1,49,49
502080102100,1,49,49
501067000821,1,49,49
501067000321,1,49,49
503257000221,1,49,49
503080104400,1,49,49
503080101800,1,49,49
502080105300,1,49,49
501067001121,1,49,49
501066001221,1,49,49
511148000400,1,49,49
503080103600,1,49,49
503060100400,1,49,49
511140090300,1,49,49
503080100200,1,49,49
504075100120,1,49,49
503080104200,1,49,49
503080100300,1,49,49
505257000121,1,49,49
503096000221,1,49,49
503080103200,1,49,49
503080105400,1,49,49
511067000521,1,49,49
505257000621,1,49,49
505256000721,1,49,49
502080104100,1,49,49
502080102300,1,49,49
502080103000,1,49,49
505255001720,1,49,49
502080102700,1,49,49
502080104200,1,49,49
501067000421,1,49,49
501060000100,1,49,49
505257000921,1,49,49
503080101900,1,49,49
503080101200,1,49,49
503080105200,1,49,49
503080107300,1,49,49
502080103100,1,49,49
501066001121,1,49,49
532080000200,1,49,49
511148000900,1,49,49
503080107100,1,49,49
502080105600,1,49,49
503087100221,1,49,49
503080102300,1,49,49
505256001621,1,49,49
502080103400,1,49,49
511148000700,1,49,49
503080100400,1,49,49
502080105500,1,49,49
503080103300,1,49,49
505256001221,1,49,49
505255000220,1,49,49
503256000221,1,49,49
503087100121,1,49,49
505257000421,1,49,49
502066000521,1,49,49
501064000720,1,49,49
503080103100,1,49,49
503080103900,1,49,49
505257001021,1,49,49
505256000521,1,49,49
501064000620,1,49,49
501067000921,1,49,49
503080102000,1,49,49
505257001121,1,49,49
505257000721,1,49,49
503080103800,1,49,49
505255002320,1,49,49
501064001320,1,49,49
505257001221,1,49,49
503080101700,1,49,49
503080101300,1,49,49
505257000221,1,49,49
503080104000,1,49,49
505256000821,1,49,49
503080101600,1,49,49
503255000520,1,49,49
503060100200,1,49,49
503080101400,1,49,49
503060100100,1,49,49
503080103700,1,49,49
